,Happy Planet Index
Daily newspapers (per 1000 people),0.4958204403678568
Bank accounts per 1000 adults,0.42859323256303844
Firms using banks to finance working capital (%),0.45445083089483135
Firms with a bank loan or line of credit (%),0.4739123426295028
Investments financed by banks (%),0.41360106607701713
Small firms with a bank loan or line of credit (%),0.4483731810280486
Working capital financed by banks (%),0.46903495882580437
Happy Planet Index,1.0
Prevalence of HIV total (% of population ages 15-49),-0.4248313005237179
Firms identifying access to finance as a major constraint (%),-0.5494836785288644
