,country,year,Access to electricity (% of population),Adolescent fertility rate (births per 1000 women ages 15-19),Age dependency ratio (% of working-age population),Agriculture value added (% of GDP),Agriculture value added (annual % growth),Agriculture value added (constant 2005 US$),Agriculture value added per worker (constant 2005 US$),Air transport registered carrier departures worldwide,CPIA economic management cluster average (1=low to 6=high),CPIA financial sector rating (1=low to 6=high),CPIA gender equality rating (1=low to 6=high),CPIA macroeconomic management rating (1=low to 6=high),CPIA policies for social inclusion/equity cluster average (1=low to 6=high),CPIA property rights and rule-based governance rating (1=low to 6=high),CPIA social protection rating (1=low to 6=high),Consumer price index (2010 = 100),Contributing family workers female (% of females employed),Contributing family workers male (% of males employed),Contributing family workers total (% of total employed),Countries categorized as offshore financial centers by the IMF and the Financial Stability Forum (FSF),Daily newspapers (per 1000 people),Depth of credit information index (0=low to 8=high),Do legal provisions mandate equal pay for equal work (1=Yes 0=No)?,Domestic credit provided by financial sector (% of GDP),Domestic credit to private sector (% of GDP),Ease of doing business index (1=most business-friendly regulations),Electric power consumption (kWh per capita),Employers female (% of employment),Employers male (% of employment),Employers total (% of employment),Employment in agriculture (% of total employment),Employment in industry (% of total employment),Employment in services (% of total employment),Export value index (2000 = 100),Export volume index (2000 = 100),Exports of goods and services (% of GDP),Exports of goods and services (annual % growth),Fertility rate total (births per woman),Fixed broadband Internet subscribers (per 100 people),Fixed-term contracts prohibited for permanent tasks?,Foreign direct investment net inflows (% of GDP),Foreign direct investment net outflows (% of GDP),Fuel exports (% of merchandise exports),GDP growth (annual %),GDP per capita (constant 2005 US$),GDP per capita PPP (constant 2011 international $),GDP per person employed (constant 1990 PPP $),GINI index (World Bank estimate),Government expenditure on education total (% of GDP),Gross capital formation (% of GDP),Gross capital formation (annual % growth),Gross fixed capital formation private sector (% of GDP),High-technology exports (% of manufactured exports),ICT goods imports (% total goods imports),Imports of goods and services (% of GDP),Industry value added (% of GDP),Industry value added (annual % growth),Industry value added (constant 2005 US$),Inflation consumer prices (annual %),Informal payments to public officials (% of firms),International migrant stock (% of population),Internet users (per 100 people),Labor force participation rate female (% of female population ages 15+) (modeled ILO estimate),Labor force participation rate male (% of male population ages 15+) (modeled ILO estimate),Labor force participation rate total (% of total population ages 15+) (modeled ILO estimate),Labor force total,Labor force with primary education (% of total),Labor force with primary education female (% of female labor force),Labor force with primary education male (% of male labor force),Labor force with secondary education (% of total),Labor force with secondary education female (% of female labor force),Labor force with secondary education male (% of male labor force),Labor force with tertiary education (% of total),Labor force with tertiary education female (% of female labor force),Labor force with tertiary education male (% of male labor force),Life expectancy at birth female (years),Life expectancy at birth male (years),Lifetime risk of maternal death (%),Literacy rate adult female (% of females ages 15 and above),Literacy rate adult male (% of males ages 15 and above),Literacy rate adult total (% of people ages 15 and above),Literacy rate youth female (% of females ages 15-24),Literacy rate youth male (% of males ages 15-24),Literacy rate youth total (% of people ages 15-24),Loan accounts commercial banks (per 1000 adults),Loan accounts microfinance institutions (per 1000 adults),Manufacturing value added (% of GDP),Manufacturing value added (annual % growth),Manufacturing value added (constant 2005 US$),Market capitalization of listed companies (% of GDP),Maximum working days per week,Minimum wage for a 19-year old worker or an apprentice (US$/month),Mobile cellular subscriptions (per 100 people),New business density (new registrations per 1000 people ages 15-64),New businesses registered (number),Notice period for redundancy dismissal (for a worker with 20 years of tenure in salary weeks),Notice period for redundancy dismissal (for a worker with 5 years of tenure in salary weeks),Number of visits or required meetings with tax officials,Paid annual leave for a worker with 20 years of tenure (in working days),Paid annual leave for a worker with 5 years of tenure (in working days),Personal transfers payments (BoP current US$),Personal transfers receipts (BoP current US$),Population ages 0-14 (% of total),Population ages 0-14 total,Population ages 15-64 (% of total),Population ages 15-64 total,Population ages 65 and above (% of total),Population ages 65 and above total,Population density (people per sq. km of land area),Population growth (annual %),Population total,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.10 a day (2011 PPP) (% of population),Premium for night work (% of hourly pay) in case of continuous operations,Premium for work on weekly rest day (% of hourly pay) in case of continuous operations,Prevalence of HIV total (% of population ages 15-49),Primary completion rate female (% of relevant age group),Primary completion rate male (% of relevant age group),Primary completion rate total (% of relevant age group),Priority rules for redundancies?,Private credit bureau coverage (% of adults),Public credit registry coverage (% of adults),Ratio of female to male wages in manufacturing (%),Ratio of minimum wage to value added per worker,Research and development expenditure (% of GDP),Researchers in R&D (per million people),Retraining or reassignment obligation before redundancy?,Road density (km of road per 100 sq. km of land area),Roads paved (% of total roads),Rural population,Rural population (% of total population),School enrollment primary (% gross),School enrollment primary female (% gross),School enrollment primary male (% gross),School enrollment secondary (% gross),School enrollment secondary (gross) gender parity index (GPI),School enrollment secondary female (% gross),School enrollment secondary male (% gross),School enrollment tertiary (% gross),School enrollment tertiary (gross) gender parity index (GPI),School enrollment tertiary female (% gross),School enrollment tertiary male (% gross),Self-employed female (% of females employed),Self-employed male (% of males employed),Self-employed total (% of total employed),series,Severance pay for redundancy dismissal (for a worker with 10 years of tenure in salary weeks),Severance pay for redundancy dismissal (for a worker with 5 years of tenure in salary weeks),Tax payments (number),Tax revenue (% of GDP),Taxes on income profits and capital gains (% of total taxes),Technicians in R&D (per million people),Telephone lines (per 100 people),Third-party approval if 1 worker is dismissed?,Third-party approval if 9 workers are dismissed?,Third-party notification if 1 worker is dismissed?,Third-party notification if 9 workers are dismissed?,Time required to enforce a contract (days),Time required to obtain an operating license (days),Time required to register property (days),Time required to start a business (days),Time to prepare and pay taxes (hours),Time to resolve insolvency (years),Total employment total (ages 15+),Unemployment female (% of female labor force) (modeled ILO estimate),Unemployment male (% of male labor force) (modeled ILO estimate),Unemployment total (% of total labor force) (modeled ILO estimate),Unemployment with secondary education (% of total unemployment),Unemployment with secondary education female (% of female unemployment),Unemployment with secondary education male (% of male unemployment),Unemployment with tertiary education (% of total unemployment),Unemployment with tertiary education female (% of female unemployment),Unemployment with tertiary education male (% of male unemployment),Unemployment youth female (% of female labor force ages 15-24) (modeled ILO estimate),Unemployment youth male (% of male labor force ages 15-24) (modeled ILO estimate),Unemployment youth total (% of total labor force ages 15-24) (modeled ILO estimate),Union members (% of total paid employees),Urban population,Urban population (% of total),Vehicles (per km of road),Vulnerable employment female (% of female employment),Vulnerable employment male (% of male employment),Wage and salaried workers female (% of females employed),Wage and salaried workers total (% of total employed),Wage and salary workers male (% of males employed),Weeks of severance pay for redundancy of experienced workers,5-bank asset concentration,ATMs per 100000 adults,Bank Z-score,Bank accounts per 1000 adults,Bank branches per 100000 adults,Bank capital to total assets (%),Bank concentration (%),Bank cost to income ratio (%),Bank credit to bank deposits (%),Bank deposits to GDP (%),Bank lending-deposit spread,Bank net interest margin (%),Bank noninterest income to total income (%),Bank nonperforming loans to gross loans (%),Bank overhead costs to total assets (%),Bank regulatory capital to risk-weighted assets (%),Bank return on assets (% after tax),Bank return on assets (% before tax),Bank return on equity (% after tax),Bank return on equity (% before tax),Banking crisis dummy (1=banking crisis 0=none),Boone indicator,Central bank assets to GDP (%),Consolidated foreign claims of BIS reporting banks to GDP (%),Consumer price index (2010=100 December),Consumer price index (2010=100 average),Corporate bond average maturity (years),Corporate bond issuance volume to GDP (%),Credit to government and state owned enterprises to GDP (%),Deposit money bank assets to deposit money bank assets and central bank assets (%),Deposit money banks' assets to GDP (%),External loans and deposits of reporting banks vis-à-vis all sectors (% of domestic bank deposits),External loans and deposits of reporting banks vis-à-vis the banking sector (% of domestic bank deposits),External loans and deposits of reporting banks vis-à-vis the nonbanking sectors (% of domestic bank deposits),Financial system deposits to GDP (%),Firms identifying access to finance as a major constraint (%),Firms not needing a loan (%),Firms using banks to finance investments (%),Firms using banks to finance working capital (%),Firms whose recent loan application was rejected (%),Firms with a bank loan or line of credit (%),Firms with a checking or savings account (%),Foreign bank assets among total bank assets (%),Foreign banks among total banks (%),GDP (Current USD),GDP per capita (Constant 2005 USD),GNI (Current USD),Global leasing volume to GDP (%),Gross portfolio debt assets to GDP (%),Gross portfolio debt liabilities to GDP (%),Gross portfolio equity assets to GDP (%),Gross portfolio equity liabilities to GDP (%),H-statistic,Insurance company assets to GDP (%),International debt issues to GDP (%),Investments financed by banks (%),Investments financed by equity or stock sales (%),Lerner index,Life insurance premium volume to GDP (%),Liquid assets to deposits and short term funding (%),Liquid liabilities in millions USD (2000 constant),Liquid liabilities to GDP (%),Loans from nonresident banks (amounts outstanding) to GDP (%),Loans from nonresident banks (net) to GDP (%),Loans requiring collateral (%),Market capitalization excluding top 10 companies to total market capitalization (%),Mutual fund assets to GDP (%),Nonbank financial institutions? assets to GDP (%),Nonfinancial corporate bonds to total bonds and notes outstanding (%),Nonlife insurance premium volume to GDP (%),Number of listed companies per 1000000 people,Outstanding domestic private debt securities to GDP (%),Outstanding domestic public debt securities to GDP (%),Outstanding international private debt securities to GDP (%),Outstanding international public debt securities to GDP (%),Pension fund assets to GDP (%),Population (Total),Private credit by deposit money banks and other financial institutions to GDP (%),Private credit by deposit money banks to GDP (%),Provisions to nonperforming loans (%),Remittance inflows to GDP (%),Small firms with a bank loan or line of credit (%),Stock market capitalization to GDP (%),Stock market return (% year-on-year),Stock market total value traded to GDP (%),Stock market turnover ratio (%),Stock price volatility,Syndicated loan average maturity (years),Syndicated loan issuance volume to GDP (%),Total factoring volume to GDP (%),Value of collateral needed for a loan (% of the loan amount),Value traded excluding top 10 traded companies to total value traded (%),Working capital financed by banks (%),Happy Planet Index
0,Afghanistan,2012.0,43.00,87.79,95.31,24.60,18.22,2645461729.00,413.03,17775.00,3.00,2.00,2.00,3.50,2.70,1.50,2.50,118.16,,,,,,0.00,,-4.03,4.05,,,,,,,,,312.36,124.12,5.52,,5.14,0.01,,0.46,,,14.43,418.43,1899.30,,,3.13,16.81,,,,0.15,39.14,21.85,7.75,2873429320.00,7.22,,,5.45,15.70,79.70,47.90,7625167.00,,,,,,,,,,61.81,59.27,,,,,,,,,,12.83,7.32,1375993180.00,,,,65.45,0.15,2289.00,,,,,,38151130.98,56786222.60,46.45,13807875.00,51.20,15220107.00,2.35,698821.00,45.53,3.14,29726803.00,,,,,0.10,,,,,0.00,0.00,,,,,,,,22155981.00,74.53,103.94,86.57,120.56,54.04,0.55,38.26,69.14,,,,,,,,,,,20.00,7.47,32.30,,0.30,,,,,1642.00,,250.00,7.00,275.00,2.00,6956572.00,13.00,7.90,8.70,,,,,,,24.90,18.40,19.50,,7570822.00,25.47,,,,,,,,85.34,0.67,7.04,174.63,2.24,,64.21,57.50,24.51,16.19,,5.90,48.52,,4.18,,0.34,0.64,12.07,15.38,,0.04,2.94,,123.54,118.16,,,,57.49,3.97,103.34,98.76,4.58,16.19,,,,,,,,,,21000000000.00,418.43,22000000000.00,,,,,,,,,,,0.31,,64.78,6203.67,30.25,0.26,,,,,,,,,,,,,,30000000.00,3.97,3.97,,1.23,,,,,,,,,,,,,36.8
1,Afghanistan,2016.0,43.00,76.73,89.77,23.97,1.90,2689738178.00,395.78,25389.38,3.00,2.00,1.50,3.50,2.60,1.50,2.50,133.06,,,,,,0.00,1.00,-2.19,3.67,183.00,,,,,,,,364.13,149.89,6.50,,4.90,0.00,0.00,0.29,,,2.00,408.90,1856.05,,,4.58,15.83,,,,0.00,43.86,21.05,1.20,2962116348.00,4.60,39.30,0.33,6.39,15.80,79.50,47.90,7982593.00,,,,,,,,,,62.24,59.69,2.04,17.61,45.42,31.74,32.11,61.88,46.99,3.98,,12.00,1.00,1400636018.00,,6.00,0.00,74.88,0.15,2289.00,4.33,4.33,1.20,20.00,20.00,111066001.10,106915579.70,44.87,14191577.00,52.69,16665899.00,2.43,770030.00,48.44,3.03,31627506.00,,,0.25,0.50,0.10,14.56,42.10,28.77,0.00,0.00,0.00,,0.00,,,0.00,3.55,36.39,23315165.00,73.72,105.86,86.86,124.04,54.31,0.55,38.26,69.66,3.74,0.33,1.85,5.57,,,,,26.00,17.33,20.00,7.47,32.30,,0.33,0.00,1.00,1.00,1.00,1642.00,13.70,250.00,7.00,275.00,2.00,7332653.00,12.20,7.10,8.00,,,,,,,22.80,16.40,17.50,,8312341.00,26.28,41.58,,,,,,26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2
2,Albania,2006.0,,18.73,52.15,22.00,3.10,1693546677.00,2696.73,4481.00,4.00,4.00,4.00,4.50,3.50,3.00,,88.75,,,,0.00,,0.00,,54.51,21.83,,1218.36,,,,58.00,13.50,28.40,305.19,256.95,25.09,,1.85,,,3.56,0.11,13.69,5.00,2939.14,7475.70,11024.00,,3.11,25.05,,19.42,6.17,3.51,49.15,20.30,10.00,1703885493.00,2.37,,,9.61,47.50,67.80,57.60,1288396.00,,,,,,,,,,79.54,73.19,,,,,,,,,,10.80,13.16,824218462.40,,,,60.07,0.68,1417.00,,,,,,20000.00,1175553650.00,25.25,755748.00,65.72,1966814.00,9.02,269985.00,109.22,-0.63,2992547.00,,,,,,,,,,0.00,0.00,,,,,,,,1561661.00,52.19,,,,80.59,0.95,78.52,82.59,28.79,1.43,33.98,23.74,,,,,,,44.00,,,,8.05,,,,,390.00,,42.00,38.00,364.00,2.00,1129583.00,13.30,11.90,12.40,,,,,,,19.50,22.80,21.40,,1430886.00,47.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1
3,Albania,2006.0,,,,,,,,,,,,,,,,,,,,,,,,,22.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,13.91,2.36,,13.86,6.80,91.03,55.37,34.26,52.10,7.71,4.68,13.48,3.10,2.69,18.10,1.29,1.64,18.57,23.74,0.00,-0.07,8.28,37.75,90.62,88.75,,,27.42,84.10,43.79,20.92,19.64,1.28,52.10,,,,,,,,,79.00,9000000000.00,2874.35,9300000000.00,,,,,,,1.30,2.82,,,0.23,0.03,56.47,7689.22,69.68,2.88,,,,,,,0.46,,,,,2.82,,3000000.00,17.85,17.85,40.40,15.12,,,,,,,,,,,,,42.1
4,Albania,2009.0,,19.48,48.64,19.41,1.90,1897704767.00,3065.76,5140.00,,,,,,,,96.57,46.00,16.10,29.00,0.00,,5.00,,68.38,36.92,,1837.39,0.40,2.30,1.50,42.10,21.00,36.90,417.09,318.36,29.60,,1.74,2.92,,11.15,3.25,11.60,3.35,3536.23,8994.41,14925.00,,,34.56,,23.07,0.76,4.79,53.76,11.56,5.87,2005394877.00,2.28,,,41.20,45.30,65.20,55.20,1256141.00,,,,,,,,,,80.00,73.76,,,,,,,,102.22,,9.56,6.45,814552401.60,,,,78.18,0.97,2045.00,,,,,,1407239.63,1091199593.00,22.27,651903.00,67.28,1969576.00,10.45,306041.00,106.84,-0.67,2927519.00,,,,,,,,,,0.00,9.90,,,,,,,,1432259.00,48.92,,,,,,,,33.11,1.42,39.19,27.55,66.00,52.90,58.60,,,,44.00,,,,11.52,,,,,390.00,,42.00,6.00,368.00,2.00,1083194.00,16.40,12.00,13.80,,,,,,,25.60,24.90,25.20,,1495260.00,51.08,,,,34.00,41.40,47.10,,82.17,33.12,3.41,,24.13,9.60,60.86,55.75,62.58,55.67,5.89,4.33,24.53,10.50,2.81,16.20,1.06,1.17,10.58,11.77,0.00,-0.04,7.32,55.06,98.96,96.57,,,23.78,88.98,59.12,7.04,5.55,1.49,55.67,,,,,,,,92.00,85.00,12000000000.00,3457.94,12000000000.00,,1.23,0.87,0.00,0.80,,1.41,2.09,,,0.25,0.06,21.97,9231.85,73.26,2.15,,,,0.01,,,0.59,,,,,2.09,0.01,2900000.00,34.84,34.84,51.30,10.95,,,,,,,,,,,,,47.9
5,Albania,2012.0,100.00,20.80,45.84,21.83,5.41,2256162246.00,3735.37,10309.18,,,,,,,,105.55,51.90,25.90,37.30,,,5.00,,68.09,38.98,,2118.26,1.00,1.90,1.60,,,,752.55,462.70,33.28,-0.64,1.76,5.06,,7.45,0.68,26.59,1.62,3857.34,9811.15,15349.00,28.96,,28.60,-8.34,20.72,0.44,2.97,51.88,14.43,0.90,2461638683.00,2.03,,,54.66,45.00,65.40,55.10,1279685.00,,,,,,,,,,80.46,74.39,,96.14,98.35,97.25,99.02,99.38,99.23,,,8.79,-3.83,893748725.40,,,,110.69,0.88,1886.00,,,,,,6269715.82,874765407.00,19.93,578012.00,68.57,1988874.00,11.50,333603.00,105.86,-0.15,2900489.00,1.06,6.79,,,,,,,,0.00,19.70,,,,,,,,1324653.00,45.67,,,,,,,,55.50,1.32,63.33,48.09,70.00,59.90,64.30,,,,44.00,,,,9.87,,,,,450.00,,33.00,4.50,357.00,2.00,1100854.00,13.00,14.60,13.90,,,,,,,24.30,31.10,28.30,,1575836.00,54.33,,68.90,58.00,30.10,35.70,40.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1
6,Albania,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,39.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.67,36.07,3.76,,24.28,8.60,56.35,53.61,57.06,67.90,5.46,4.23,13.90,22.50,2.29,16.20,0.56,0.64,4.75,5.39,,-0.02,5.25,57.32,106.55,105.55,,,23.52,92.37,63.52,13.98,13.10,0.88,67.90,,,,,,,,90.00,85.00,12000000000.00,3764.66,12000000000.00,,4.02,6.02,0.25,1.11,0.55,1.59,5.40,,,0.26,0.07,20.45,10131.47,82.49,5.32,,,,1.24,,,0.57,,,,,5.40,0.02,2900000.00,38.74,38.74,55.40,8.34,,,,,,,,,,,,,54.1
7,Albania,2016.0,100.00,21.49,44.91,22.67,1.98,2317570627.00,3914.82,1994.75,4.00,4.00,4.00,4.50,3.50,3.00,,109.35,45.20,24.70,34.00,0.00,24.40,6.00,1.00,67.25,37.13,68.00,2118.26,1.00,2.30,1.70,41.50,20.80,37.70,891.52,560.50,36.36,9.21,1.77,6.57,1.00,8.68,0.77,1.57,1.90,3994.63,10160.34,15349.00,28.96,3.27,26.73,-1.22,22.57,0.51,2.97,56.16,14.95,0.24,2683701689.00,1.63,18.30,3.06,60.10,44.90,65.50,55.10,1287020.00,60.10,,,29.90,,,7.90,,,80.61,74.61,0.04,96.14,98.35,97.25,99.02,99.38,99.23,102.22,,8.86,-3.19,918253882.10,,6.00,200.95,105.47,0.88,1886.00,13.00,13.00,5.00,20.00,20.00,137971377.40,1089530761.00,18.93,547936.00,69.01,1997400.00,12.06,349139.00,105.64,-0.10,2894475.00,1.06,6.79,0.50,0.25,,95.37,98.08,96.75,0.00,0.00,16.70,,0.40,0.15,147.94,0.00,62.61,39.00,1261731.00,43.59,99.52,97.53,101.42,82.40,0.95,80.33,84.40,58.53,1.30,66.35,50.93,63.00,57.10,59.80,,21.40,10.71,34.00,17.29,20.54,38.02,7.76,0.00,0.00,0.00,0.00,525.00,10.10,22.00,4.50,357.00,2.00,1081471.00,13.80,17.60,16.00,38.40,40.60,36.20,3.40,3.40,3.40,24.10,32.00,28.70,,1632744.00,56.41,12.45,62.00,54.80,36.90,40.20,42.90,42.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8
8,Algeria,2006.0,,9.69,50.40,7.75,8.10,8580217724.00,2820.58,44822.00,,,,,,,,83.72,,,,0.00,,0.00,,3.94,12.35,,859.66,,,,,,,247.89,105.67,48.81,-2.40,2.58,0.49,,1.57,0.07,97.91,1.70,3109.77,12359.54,11035.00,,,30.17,4.60,,1.62,5.88,21.92,60.46,0.90,59698626301.00,2.31,,,7.38,13.20,72.00,42.80,10342499.00,,,,,,,,,,71.61,68.48,,63.92,81.28,72.65,89.14,94.38,91.78,,,,2.80,,,,,60.85,0.38,8864.00,,,,,,35000000.00,189000000.00,28.40,9584610.00,66.49,22439619.00,5.11,1725099.00,14.17,1.44,33749328.00,,,,,0.10,82.19,84.46,83.35,,0.00,0.20,,,,,,,,11949625.00,35.41,106.58,102.40,110.59,78.14,1.09,81.53,74.87,20.21,1.26,22.57,17.95,,,,,,,39.00,40.75,65.16,,8.23,,,,,630.00,,74.00,24.00,451.00,2.50,9061769.00,21.30,10.70,12.30,,,,,,,37.70,21.40,23.90,,21799703.00,64.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9
9,Algeria,2006.0,,,,,,,,,,,,,,,,,,,,,,,,,12.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.48,2.32,9.69,309.96,4.80,,84.44,22.61,30.39,36.77,6.25,3.73,40.98,,1.20,,0.77,1.16,16.05,24.29,0.00,0.01,4.93,4.96,85.25,82.43,,,23.39,87.07,33.19,26.37,18.83,7.54,36.77,,,,,,,,8.00,53.00,120000000000.00,3109.77,110000000000.00,0.18,,,,,,0.76,,,,0.67,0.03,57.59,69818.52,48.55,2.30,,,,,0.21,,0.51,,,,,,,34000000.00,11.33,11.18,,0.16,,,,,,,4.91,0.83,,,,,45.9
