Country Name,Country Code,Series Name,Series Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,Time required to start a business (days),IC.REG.DURS,9,9,9,9,7,7,7,7,5,7,7
Albania,ALB,Time required to start a business (days),IC.REG.DURS,41,39,37,10,7,7,6.5,5.5,5.5,5.5,5.5
Algeria,DZA,Time required to start a business (days),IC.REG.DURS,24,24,24,24,24,24,24,24,24,22,20
American Samoa,ASM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Andorra,ADO,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Time required to start a business (days),IC.REG.DURS,83,83,83,68,68,66,66,66,66,66,36
Antigua and Barbuda,ATG,Time required to start a business (days),IC.REG.DURS,25,21,21,21,21,21,21,21,21,21,21
Argentina,ARG,Time required to start a business (days),IC.REG.DURS,30,30,30,30.5,25.5,25,25,25,25,25,25
Armenia,ARM,Time required to start a business (days),IC.REG.DURS,18,17,17,17,14,14,8,8,4,3,3
Aruba,ABW,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Time required to start a business (days),IC.REG.DURS,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Austria,AUT,Time required to start a business (days),IC.REG.DURS,25,25,25,25,25,25,25,25,25,22,22
Azerbaijan,AZE,Time required to start a business (days),IC.REG.DURS,113,51,36,10,10,8,8,8,7,5,3
Bahamas The,BHS,Time required to start a business (days),IC.REG.DURS,..,..,30.5,30.5,30.5,23.5,23.5,23.5,23.5,23.5,28.5
Bahrain,BHR,Time required to start a business (days),IC.REG.DURS,..,..,9,9,9,9,9,9,9,9,9
Bangladesh,BGD,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,21.79999924,19.5,19.5
Barbados,BRB,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,18,18,18,18,18
Belarus,BLR,Time required to start a business (days),IC.REG.DURS,79,69,48,31,10,10,10,10,9,9,3
Belgium,BEL,Time required to start a business (days),IC.REG.DURS,34,27,4,4,4,4,4,4,4,4,4
Belize,BLZ,Time required to start a business (days),IC.REG.DURS,57,44,43,43,43,43,43,43,43,43,43
Benin,BEN,Time required to start a business (days),IC.REG.DURS,34,34,34,34,34,34,32,29,18,12,12
Bermuda,BMU,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Time required to start a business (days),IC.REG.DURS,62,62,48,46,46,46,35,35,30,15,15
Bolivia,BOL,Time required to start a business (days),IC.REG.DURS,50,50,50,50,50,50,50,50,50,50,50
Bosnia and Herzegovina,BIH,Time required to start a business (days),IC.REG.DURS,93,93,93,99,99,94,70,67,67,67,67
Botswana,BWA,Time required to start a business (days),IC.REG.DURS,125,105,105,74,59,59,40,40,41,48,48
Brazil,BRA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,86.59999847,83.59999847,83
Brunei Darussalam,BRN,Time required to start a business (days),IC.REG.DURS,..,121,121,121,121,108,104,104,104,104,14
Bulgaria,BGR,Time required to start a business (days),IC.REG.DURS,32,32,32,49,18,18,18,18,18,18,18
Burkina Faso,BFA,Time required to start a business (days),IC.REG.DURS,40,34,18,16,14,14,13,13,13,13,13
Burundi,BDI,Time required to start a business (days),IC.REG.DURS,13,13,13,13,13,13,13,7,5,5,4
Cambodia,KHM,Time required to start a business (days),IC.REG.DURS,87,86,86,102,102,102,102,102,101,101,87
Cameroon,CMR,Time required to start a business (days),IC.REG.DURS,45,45,38,38,35,19,15,15,15,15,15
Canada,CAN,Time required to start a business (days),IC.REG.DURS,3.5,3.5,3.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,1.5
Cape Verde,CPV,Time required to start a business (days),IC.REG.DURS,60,52,52,52,24,11,11,11,10,10,10
Cayman Islands,CYM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Time required to start a business (days),IC.REG.DURS,22,22,22,23,24,24,22,22,22,22,22
Chad,TCD,Time required to start a business (days),IC.REG.DURS,62,62,62,62,62,62,53,60,60,60,60
Channel Islands,CHI,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,Time required to start a business (days),IC.REG.DURS,42,40,40,40,40,34.5,7.5,5.5,5.5,5.5,5.5
China,CHN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,34.40000153,31.39999962,31.39999962
Colombia,COL,Time required to start a business (days),IC.REG.DURS,40,41,40,34,18,10,10,11,11,11,11
Comoros,COM,Time required to start a business (days),IC.REG.DURS,30,30,30,22,22,22,22,20,15,15,15
