Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,Mobile cellular telephone subscriptions (per 100 people),IT.CEL.SETS.P2,0,0,0,0,0,0,0,0,0,0,0,0,0.112598381,0.865196277,2.498055472,4.826865367,9.833164022,17.71624331,29.22037376,37.89493697,35.97403913,47.40646435,51.43454705,55.01222617,58.84547053,61.5776191
Afghanistan,AFG,Fixed telephone and mobile cellular subscriptions (per 100 people),IT.TEL.TOTL.P2,0.308579017,0.293370392,0.209964237,0.191099696,0.175917309,0.164903216,0.15747769,0.152461256,0.148742083,0.145093796,0.140808415,0.135845494,0.26145344,1.023959794,..,..,..,..,..,37.91345136,36.03256476,47.45287829,51.73636901,55.32569181,59.1713315,61.9212962
Afghanistan,AFG,Improved sanitation facilities (% of population with access),SH.STA.ACSN,..,20.5,20.5,20.5,20.6,20.6,21.1,21.7,22.2,22.8,23.4,23.9,24.5,25.1,25.7,26.3,26.9,27.4,28,28.7,29.3,29.9,30.5,31.1,31.8,31.9
Afghanistan,AFG,Improved water source (% of population with access),SH.H2O.SAFE.ZS,..,21.2,21.3,21.4,21.4,21.5,23.3,25,26.8,28.5,30.3,32,33.8,35.5,37.3,39.1,40.8,42.6,44.4,46.2,48,49.8,51.6,53.4,55.2,55.3
Afghanistan,AFG,Household electrification rate (% of households),EG.ELC.HOUS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Fertility rate total (births per woman),SP.DYN.TFRT.IN,7.466,7.479,7.502,7.535,7.572,7.606,7.63,7.636,7.617,7.571,7.496,7.395,7.273,7.137,6.987,6.822,6.639,6.437,6.218,5.985,5.746,5.506,5.272,5.05,4.843,..
Afghanistan,AFG,Adolescent fertility rate (births per 1000 women age 15-19),SP.ADO.TFRT,162.738,163.327,163.916,164.1812,164.4464,164.7116,164.9768,165.242,161.4432,157.6444,153.8456,150.0468,146.248,140.4764,134.7048,128.9332,123.1616,117.39,111.4708,105.5516,99.6324,93.7132,87.794,82.2638,76.7336,..
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,34.61567,..,..,..,..,..,..,..,..,..,37.45584,..,..,..,..,..,..,..,..,..,41,..,43,..,..,..
Afghanistan,AFG,Access to an all-season road (% of rural population),IS.ROD.ALLS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Life expectancy at birth total (years),SP.DYN.LE00.IN,49.86104878,50.64097561,51.36292683,52.02187805,52.61434146,53.13939024,53.60204878,54.01782927,54.40273171,54.76726829,55.12587805,55.48753659,55.85719512,56.23529268,56.62631707,57.0272439,57.43256098,57.83382927,58.22502439,58.60368293,58.97082927,59.32795122,59.67960976,60.02826829,60.37446341,..
Bangladesh,BGD,Mobile cellular telephone subscriptions (per 100 people),IT.CEL.SETS.P2,0,0,0.000222359,0.00043517,0.000940619,0.0020856,0.00326795,0.020809104,0.058833439,0.114644643,0.210751714,0.385958523,0.784635571,0.980702181,1.969454675,6.28776238,13.20573922,23.46762823,30.16828408,34.35334451,44.94535882,55.19256723,62.82023906,74.42964608,80.03535051,83.36099297
Bangladesh,BGD,Fixed telephone and mobile cellular subscriptions (per 100 people),IT.TEL.TOTL.P2,0.203006268,0.201495271,0.207193804,0.214492837,0.224400733,0.241182949,0.261502171,0.31535156,0.382501291,0.44778197,0.581873396,0.805228236,1.226900703,1.513836314,2.557800195,7.035307462,13.988517,24.27804935,31.07688468,35.17934411,45.79285458,55.83216193,63.44184074,75.12082285,80.64992701,83.87891176
Bangladesh,BGD,Improved sanitation facilities (% of population with access),SH.STA.ACSN,34.4,35.6,36.7,37.8,38.9,40,41.1,42.2,43.3,44.3,45.4,46.5,47.6,48.6,49.7,50.7,51.8,52.8,53.8,54.8,55.8,56.8,57.7,58.7,59.6,60.6
Bangladesh,BGD,Improved water source (% of population with access),SH.H2O.SAFE.ZS,68.1,68.9,69.7,70.5,71.3,72.1,72.9,73.6,74.4,75.2,76,76.7,77.5,78.3,79.1,79.8,80.6,81.3,82,82.7,83.5,84.2,84.8,85.5,86.2,86.9
Bangladesh,BGD,Household electrification rate (% of households),EG.ELC.HOUS.ZS,..,..,..,17.8,..,..,22.4,..,..,..,32,..,..,..,40.6,..,..,46.5,..,..,..,59.6,..,..,..,..
Bangladesh,BGD,Fertility rate total (births per woman),SP.DYN.TFRT.IN,4.494,4.314,4.146,3.99,3.846,3.713,3.592,3.479,3.372,3.269,3.169,3.069,2.971,2.874,2.779,2.687,2.6,2.521,2.449,2.387,2.332,2.286,2.245,2.209,2.175,..
Bangladesh,BGD,Adolescent fertility rate (births per 1000 women age 15-19),SP.ADO.TFRT,153.9566,148.7078,143.459,139.096,134.733,130.37,126.007,121.644,118.5532,115.4624,112.3716,109.2808,106.19,103.6674,101.1448,98.6222,96.0996,93.577,91.9356,90.2942,88.6528,87.0114,85.37,84.43,83.49,..
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,21.62,..,..,..,..,..,..,..,..,..,32,..,..,..,..,..,..,..,..,..,55.2,..,59.6,..,..,..
Bangladesh,BGD,Access to an all-season road (% of rural population),IS.ROD.ALLS.ZS,..,..,..,..,..,..,..,..,..,..,37,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,Life expectancy at birth total (years),SP.DYN.LE00.IN,58.41756098,59.05026829,59.71785366,60.41880488,61.14553659,61.88739024,62.62956098,63.35787805,64.05914634,64.72382927,65.34797561,65.93017073,66.47817073,67.00014634,67.49719512,67.97185366,68.42563415,68.85997561,69.27785366,69.68378049,70.08029268,70.47195122,70.86026829,71.2452439,71.62590244,..
Benin,BEN,Mobile cellular telephone subscriptions (per 100 people),IT.CEL.SETS.P2,0,0,0,0,0,0.017541931,0.043828702,0.067517635,0.096020877,0.107840809,0.79828865,1.742181889,2.950472734,3.08093958,5.797473518,7.28722342,12.50317546,23.56334604,40.40173435,54.46885832,74.39604921,79.40049868,83.65431589,93.25782193,81.70596565,85.64432269
Benin,BEN,Fixed telephone and mobile cellular subscriptions (per 100 people),IT.TEL.TOTL.P2,0.295484888,0.289646456,0.293033428,0.365594133,0.413786978,0.488768319,0.572930345,0.640560791,0.681891816,0.75550876,1.541435578,2.568645102,3.795667119,3.948585912,6.716202209,8.21931369,13.41915146,24.83541181,41.68653581,55.84481315,75.79909689,80.96203448,85.21356021,94.80229233,83.55191891,87.43356053
Benin,BEN,Improved sanitation facilities (% of population with access),SH.STA.ACSN,6.8,7.3,7.9,8.4,8.9,9.4,9.9,10.4,10.9,11.4,11.9,12.4,12.9,13.4,14,14.5,15.1,15.6,16.2,16.7,17.3,17.8,18.4,19,19.6,19.7
Benin,BEN,Improved water source (% of population with access),SH.H2O.SAFE.ZS,57.1,58.1,59.1,59.9,60.8,61.7,62.6,63.4,64.3,65.1,66,66.9,67.7,68.6,69.4,70.3,71.1,72,72.8,73.7,74.5,75.3,76.2,77,77.8,77.9
Benin,BEN,Household electrification rate (% of households),EG.ELC.HOUS.ZS,..,..,..,..,..,..,14.5,..,..,..,..,21.9,..,..,..,..,27.9,..,..,..,..,38.4,..,..,..,..
Benin,BEN,Fertility rate total (births per woman),SP.DYN.TFRT.IN,6.744,6.677,6.603,6.526,6.446,6.365,6.284,6.205,6.128,6.051,5.975,5.898,5.818,5.733,5.645,5.553,5.459,5.365,5.272,5.182,5.094,5.009,4.927,4.846,4.766,..
Benin,BEN,Adolescent fertility rate (births per 1000 women age 15-19),SP.ADO.TFRT,125.2996,126.0328,126.766,125.9774,125.1888,124.4002,123.6116,122.823,121.3902,119.9574,118.5246,117.0918,115.659,113.5474,111.4358,109.3242,107.2126,105.101,102.1248,99.1486,96.1724,93.1962,90.22,87.405,84.59,..
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,22.03774,..,..,..,..,..,..,..,..,..,25.4,..,..,..,..,..,..,..,..,..,27.9,..,38.4,..,..,..
Benin,BEN,Access to an all-season road (% of rural population),IS.ROD.ALLS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,32,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,Life expectancy at birth total (years),SP.DYN.LE00.IN,53.42,53.93570732,54.32702439,54.59497561,54.75007317,54.81595122,54.83180488,54.84231707,54.89014634,54.99878049,55.1882439,55.4664878,55.81431707,56.20807317,56.63317073,57.06597561,57.48339024,57.86739024,58.2045122,58.49126829,58.72970732,58.93290244,59.12197561,59.31202439,59.51058537,..
Bhutan,BTN,Mobile cellular telephone subscriptions (per 100 people),IT.CEL.SETS.P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365843964,3.019121524,5.53491068,12.33202317,21.99686472,36.61427504,48.10756491,54.99993723,66.37918152,75.6097824,72.19831102,81.57982737,87.11937882
