Country Name	Series Name	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Afghanistan	Commencement of proceedings index (0-3)	..	..	..	..	..	..	..	..	2	2	2
Afghanistan	Cost to build a warehouse (% of income per capita)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Cost to enforce a contract (% of claim)	25	25	25	25	25	25	25	25	25	25	25
Afghanistan	Cost to export (deflated US$ per container)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Cost to get electricity (% of income per capita)	..	..	..	..	618.2	6179.7	6277.9	5545.6	3778.1	3373.9	3469.7
Afghanistan	Cost to import (deflated US$ per container)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Cost to register property (% of property value)	7	7	7	7	4	5	5	5	5	5	5
Afghanistan	Cost to start a business (% of income per capita)	75.2	67.4	84.6	59.5	30.2	26.7	25.8	22.5	14.4	15.1	19
Afghanistan	Credit: Strength of legal rights index (0=weak to 10=strong)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Creditor participation index (0-4)	..	..	..	..	..	..	..	..	1	1	1
Afghanistan	Depth of credit information index (0=low to 6=high)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Ease of doing business index (1=easiest to 185=most difficult)	..	..	..	..	..	..	..	..	..	175	177
Afghanistan	Ease of shareholder suits index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Extent of conflict of interest regulation index (0-10)	..	..	..	..	..	..	..	..	1.7	1.7	1.7
Afghanistan	Extent of corporate transparency index (0-9)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Extent of director liability index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Extent of disclosure index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Extent of shareholder governance index (0-10)	..	..	..	..	..	..	..	..	0.3	0.3	0.3
Afghanistan	Extent of shareholder rights index (0-10.5)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Labor tax and contributions (%)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Management of debtor's assets index (0-6)	..	..	..	..	..	..	..	..	0	0	0
Afghanistan	Minimum paid-in capital required to start a business (% of income per capita)	0	0	0	0	0	0	0	0	0	0	0
Afghanistan	Other taxes (%)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Outcome (0 as piecemeal sale and 1 as going concern)	..	..	..	..	..	..	0	0	0	0	0
Afghanistan	Private credit bureau coverage (% of adults)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Procedures required to build a warehouse (number)	11	11	11	11	11	11	11	11	11	11	11
Afghanistan	Procedures required to connect to electricity (number)	..	..	..	..	4	5	5	5	5	5	5
Afghanistan	Procedures required to enforce a contract (number)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Procedures required to register property (number)	11	11	9	9	9	9	9	9	9	9	9
Afghanistan	Procedures required to start a business (number)	4	4	4	4	4	4	4	4	3	3	3
Afghanistan	Profit tax (%)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Public credit registry coverage (% of adults)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Reorganization proceedings index (0-3)	..	..	..	..	..	..	..	..	0	0	0
Afghanistan	Resolving Insolvency: cost (% of estate)	..	..	25	25	25	25	25	25	25	25	25
Afghanistan	Resolving Insolvency: recovery rate (cents on the dollar)	0	0	25.1	24.3	24.3	26	26.5	26.4	26.5	26.4	26.5
Afghanistan	Strength of governance structure index (0-10.5)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Strength of insolvency framework index (0-16)	..	..	..	..	..	..	..	..	3	3	3
Afghanistan	Strength of investor protection index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Tax payments (number)	17	17	20	20	20	20	20	20	20	20	20
Afghanistan	Time required to build a warehouse (days)	357	357	357	357	357	357	357	357	353	353	353
Afghanistan	Time required to connect to electricity (days)	..	..	..	..	424	196	114	114	114	114	114
